Names,Real prices,Credit prices
Tecno SPARK 8C 4/64GB,299.99,339.99
Tecno SPARK GO 2022(NFC),279.99,
Tecno POP 6 Pro 2/32 GB,229.99,259.99
Tecno POP 5 LTE 2/32GB,259.99,
Infinix Note 11 NFC 128 GB ,519.99,
Infinix Hot 12 128 GB,409.99,
Infinix HOT 12 Play 64 GB,349.99,
Infinix Hot 12i 64 GB,319.99,
Infinix Smart 6 Plus 64 GB,299.99,
Infinix Smart 6 64GB,299.99,
Infinix Smart 6 32Gb,259.99,
Nokia 5710 Black ,199.99,
Xiaomi Redmi 10 2022 4/128GB,439.99,
Xiaomi Redmi 10 2022 6/128GB,469.99,
iPhone 14 Pro Max 256GB,3179.99,3449.99
iPhone 14 Pro Max 128GB,2899.99,3149.99
iPhone 14 Pro Max 1TB,4249.99,4469.99
iPhone 14 Pro 128GB,2599.99,2849.99
iPhone 14 Pro 256GB,2889.99,3149.99
iPhone 14 Pro 512GB,3439.99,3739.99
iPhone 14 plus 256GB,2629.99,2799.99
iPhone 14 plus 128GB,2339.99,2529.99
iPhone 14 128GB,1999.99,2169.99
iPhone 14 256GB,2279.99,2459.99
NOKIA 8210 4G,199.99,
Samsung Galaxy A73 5G 8/256GB,1209.99,1299.99
Huawei P50 Pro,1999.99,2399.99
Xiaomi Redmi 10c 3/64GB,329.99,349.99
SAMSUNG GALAXY A03 Core 32GB,239.99,
HUAWEI Nova Y70 4/128GB,399.99,499.99
Xiaomi Redmi Note 11s 8/128GB,549.99,589.99
Xiaomi Redmi Note 11s 6/128GB,519.99,549.99
Realme 9i 4/128GB,439.99,499.99
Xiaomi Redmi 10A 3/64GB,329.99,
Xiaomi Redmi 10c 4/64GB,339.99,359.99
Xiaomi Redmi 10c 4/128GB,369.99,399.99
Xiaomi 12x 8/128GB,1299.99,1399.99
Huawei Nova 9 SE,679.99,699.99
Realme C25Y 4/128GB,329.99,379.99
Realme C 21Y 4/64GB RMX 3263,359.99,
Realme 8 6/128GB RMX 3085,509.99,589.99
Samsung Galaxy A53 5G 6/128GB,749.99,829.99
Samsung Galaxy A23 4/64GB,459.99,
Samsung Galaxy A23 6/128GB,529.99,569.99
Samsung Galaxy A13 4/64GB,399.99,429.99
Samsung Galaxy A13 3/32GB,299.99,
Samsung Galaxy A13 4/128GB,449.99,479.99
Samsung Galaxy S22+,2049.99,2199.99
Samsung Galaxy S22,1529.99,1649.99
Samsung Galaxy S22 Ultra,2599.99,2799.99
Huawei Nova 9 ,1149.99,1249.99
Xiaomi Redmi Note 11 6/128GB,499.99,529.99
Xiaomi Redmi Note 11 4/128GB,469.99,499.99
Samsung Galaxy A03 64GB,269.99,289.99
Samsung Galaxy A03 32GB,229.99,249.99
Samsung Galaxy S21 FE,1299.99,1399.99
Xiaomi 11T 5G 8/128GB,1029.99,1079.99
SAMSUNG GALAXY M52 128GB,859.99,
Xiaomi Redmi 10 6/128GB,469.99,
Xiaomi Redmi 10 4/64 GB,419.99,
Xiaomi Redmi 10 4/128 GB,439.99,
SAMSUNG GALAXY A03S 32GB,239.99,259.99
SAMSUNG GALAXY A03S 64GB,279.99,299.99
Samsung Galaxy Z Flip3,1499.99,
Samsung Galaxy Z Fold3,3799.99,
Samsung Galaxy A22 64GB ,499.99,
Samsung Galaxy A22 128GB,549.99,
HUAWEI P smart 2021,399.99,499.99
NOKIA 130 (2017),59.99,
NOKIA 6300 4G,167.99,
NOKIA 5310,123.99,
Samsung Galaxy A32 128GB,549.99,
Samsung Galaxy A32 64GB,499.99,
Samsung Galaxy A52 256GB,899.99,
Samsung Galaxy A02 32GB,239.99,
NOKIA 3310 (2017) Dual SIM,165.99,
NOKIA 230,169.99,
NOKIA 225 4G,129.99,
NOKIA 215 4G,98.99,
NOKIA 210,99.99,
NOKIA 150,92.99,
NOKIA 125,79.99,
NOKIA 110,72.99,
NOKIA 106,59.99,
NOKIA 105 (2019),59.99,
Samsung Galaxy S21 Ultra,2799.99,
Xiaomi Redmi 9T 64GB,399.99,
Xiaomi Redmi 9T 128GB,449.99,
Samsung Galaxy S21+,2099.99,
Samsung Galaxy A02S,289.99,
Samsung Galaxy A12 32GB,339.99,
Samsung Galaxy A12 64GB,399.99,
Samsung Galaxy A12 128GB,449.99,
Samsung Galaxy S21,1899.99,
Huawei Y6p,279.99,309.99
Samsung Galaxy S20 FE,999.99,
Huawei Y8p,399.99,449.99
Samsung Galaxy A01,249.99,
HUAWEI P40 Lite E,379.99,409.99
HUAWEI P40 lite,549.99,599.99
Samsung Galaxy S20 Ultra,1999.99,
Samsung Galaxy S20,1549.99,
Samsung Galaxy S20+,1699.99,
Huawei Mate 20,949.99,
